German,English
ich ,I 
sie ,she 
das ,the 
ist ,is 
du ,you 
nicht ,not 
die ,the 
es ,it 
und ,and 
der ,the 
wir ,we 
was ,What 
zu ,to 
er ,he 
ein ,a 
in ,in 
mir ,me 
mit ,with 
ja ,Yes 
den ,the 
wie ,How 
mich ,me 
auf ,on 
dass ,that 
eine ,one 
aber ,but 
so ,so 
hat ,has 
hier ,here 
haben ,have 
sind ,are 
für ,for 
von ,from 
dich ,you 
war ,was 
wenn ,if 
ihr ,her 
habe ,have 
nein ,no 
an ,to 
bin ,am 
noch ,still 
da ,there 
dir ,you 
nur ,only 
einen ,a 
sich ,itself 
uns ,us 
hast ,have 
dem ,dem 
kann ,can 
sein ,be 
auch ,also 
ihn ,him 
schon ,already 
als ,as 
jetzt ,now 
gut ,good 
mal ,just 
aus ,out of 
um ,around 
meine ,mine 
dann ,then 
wird ,becomes 
im ,in the 
bist ,are 
mein ,my 
doch ,but 
alles ,everything 
keine ,no 
weiß ,white 
oder ,or 
nach ,after 
s ,s 
werden ,become 
nichts ,nothing 
man ,man 
wo ,where 
ihnen ,them 
etwas ,something 
muss ,must 
will ,wants 
geht ,goes 
oh ,Oh 
mehr ,more 
also ,so 
bei ,at 
immer ,always 
bitte ,please 
warum ,Why 
hab ,have 
vor ,before 
los ,go 
können ,can 
wieder ,again 
sagen ,say 
machen ,make 
alle ,all 
sehr ,very 
mann ,man 
okay ,OK 
gehen ,go 
denn ,because 
zum ,for the 
tun ,do 
ihm ,him 
diese ,this 
danke ,Thanks 
sehen ,see 
wer ,who 
einem ,one 
euch ,you 
komm ,come 
vielleicht ,perhaps 
einer ,one 
ihre ,her 
werde ,become 
gibt ,gives 
über ,above 
deine ,your 
wissen ,knowledge 
müssen ,must 
wirklich ,really 
soll ,should 
nie ,never 
weg ,away 
hey ,hey 
kein ,no 
des ,des 
würde ,would 
einfach ,simply 
leben ,life 
am ,on 
viel ,much 
tut ,does 
willst ,want 
kommen ,come 
zeit ,time 
nun ,so 
hatte ,had 
dein ,your 
weil ,because 
kommt ,comes 
heute ,today 
wollen ,want 
weißt ,know 
damit ,with it 
frau ,woman 
gesagt ,said 
wäre ,were 
ganz ,quite 
wurde ,became 
bis ,until 
sicher ,secure 
kannst ,can 
zurück ,back 
dieser ,this 
wollte ,wanted 
leid ,sorrow 
lassen ,let 
macht ,might 
na ,n/a 
gott ,God 
meinen ,mean 
hallo ,Hello 
seine ,his 
zwei ,two 
lass ,let 
hätte ,would have 
zur ,to 
waren ,were 
genau ,Exactly 
könnte ,could 
vater ,father 
morgen ,morning 
leute ,people 
klar ,clear 
ok ,OK 
ab ,away 
tag ,day 
gerade ,straight 
gesehen ,seen 
schön ,nice 
glaube ,believe 
liebe ,love 
geld ,money 
durch ,through 
reden ,talk 
unsere ,our 
jemand ,someone 
mach ,do 
raus ,out 
sagte ,said 
keinen ,none 
ob ,whether 
sollte ,should 
gemacht ,made 
mutter ,mother 
dieses ,this 
paar ,couple 
sir ,sir 
passiert ,happened 
musst ,must 
wohl ,probably 
möchte ,want 
besser ,better 
dachte ,thought 
selbst ,himself 
her ,here 
hör ,listen 
gehört ,heard 
wirst ,will 
sag ,say 
ohne ,without 
nacht ,night 
diesen ,this one 
anderen ,others 
meiner ,mine 
wieso ,how come 
finden ,find 
dort ,there 
helfen ,help 
meinem ,mine 
lange ,long 
gute ,good 
ordnung ,order 
geben ,give 
weiter ,further 
natürlich ,naturally 
sei ,be 
ins ,into the 
gar ,even 
geh ,go 
richtig ,correct 
diesem ,this one 
vom ,from the 
sagt ,says 
denke ,think 
seit ,since 
gleich ,even 
hören ,hear 
ach ,Oh 
mädchen ,girl 
davon ,of that 
sieht ,sees 
ihren ,your 
recht ,right 
dafür ,for that 
wegen ,because of 
hause ,home 
hin ,there 
warte ,wait 
drei ,three 
deinen ,yours 
abend ,evening 
freund ,friend 
guten ,good 
sollen ,should 
sollten ,should 
haus ,a house 
menschen ,people 
viele ,many 
bleiben ,remain 
musik ,music 
unser ,our 
angst ,fear 
schnell ,fast 
tot ,dead 
welt ,world 
zusammen ,together 
habt ,have 
unter ,under 
scheiße ,shit 
nehmen ,take 
eines ,one 
herr ,Mr 
andere ,other 
getan ,did 
rein ,pure 
bringen ,bring 
ganze ,whole 
essen ,eat 
kinder ,children 
glauben ,believe 
genug ,enough 
darf ,may 
junge ,boy 
stimmt ,true 
brauchen ,need 
gegen ,against 
moment ,moment 
erst ,first 
seid ,are 
einmal ,once 
sonst ,otherwise 
niemand ,no one 
arbeit ,work 
steht ,stands 
warten ,wait 
dabei ,included 
fragen ,questions 
sofort ,immediately 
jahre ,years 
halt ,stop 
verdammt ,damned 
ihrer ,theirs 
bevor ,before 
sohn ,son 
familie ,family 
heißt ,is called 
jeder ,everyone 
sprechen ,speak 
gefunden ,found 
sache ,matter 
problem ,problem 
fertig ,complete 
allein ,alone 
wann ,When 
brauche ,need 
bruder ,brother 
hilfe ,help 
halten ,hold 
hatten ,had 
kind ,child 
siehst ,see 
darüber ,about it 
konnte ,could 
wahr ,true 
warst ,were 
beim ,at the 
ne ,no 
seinen ,his 
beide ,both 
denken ,think 
jahren ,years 
daran ,to it 
kam ,came 
dazu ,in addition 
gib ,give 
würden ,would 
verstehe ,understand 
deinem ,yours 
ihrem ,theirs 
deiner ,yours 
wusste ,knew 
könnten ,could 
fall ,case 
lieber ,Dear 
eigentlich ,actually 
bekommen ,receive 
jeden ,every 
sieh ,see 
dank ,thanks to 
vergessen ,forget 
kennen ,know 
mag ,likes 
sehe ,see 
frage ,ask 
gern ,gladly 
komme ,come 
stadt ,city 
sage ,saw 
kopf ,head 
männer ,men 
egal ,doesn't matter 
letzte ,last 
namen ,names 
gab ,gave 
kleine ,small 
mache ,make 
töten ,kill 
fahren ,drive 
all ,all 
n ,n 
später ,later 
uhr ,clock 
ende ,end 
baby ,baby 
gehe ,go 
glück ,happiness 
dinge ,things 
freunde ,friends 
bisschen ,a little 
sterben ,die 
darauf ,on it 
bald ,soon 
minuten ,minutes 
echt ,real 
bereit ,ready 
eins ,one 
augen ,eyes 
runter ,down 
jungs ,guys 
seiner ,his 
polizei ,police 
auto ,car 
eure ,your 
vielen ,many 
stehen ,stand 
weit ,far 
meinst ,mean 
draußen ,outside 
tür ,door 
dad ,dad 
wurden ,became 
verrückt ,crazy 
kerl ,guy 
hätten ,would have 
einzige ,only 
vorbei ,over 
treffen ,meet 
ganzen ,entire 
hi ,hi 
ahnung ,idea 
teufel ,devil 
kenne ,know 
hinter ,behind 
fast ,almost 
name ,name 
arbeiten ,work 
gerne ,gladly 
dran ,your turn 
neue ,new 
ziemlich ,quite 
ruhig ,quiet 
ging ,went 
sorgen ,care for 
verstanden ,understood 
tochter ,daughter 
toll ,great 
jemanden ,someone 
sogar ,even 
überhaupt ,at all 
he ,hey 
spät ,late 
hört ,hears 
frauen ,women 
hand ,hand 
drin ,inside 
schau ,look 
nimm ,take 
seinem ,his 
mama ,mama 
lang ,long 
solltest ,should 
verloren ,lost 
art ,Art 
sah ,saw 
verstehen ,understand 
große ,size 
darum ,therefore 
denkst ,think 
job ,job 
ruhe ,quiet 
braucht ,needs 
woher ,from where 
spielen ,play 
idee ,idea 
suchen ,seek 
je ,ever 
kommst ,come 
liegt ,lies 
grund ,reason 
versuchen ,attempt 
jahr ,year 
gekommen ,came 
wasser ,water 
gewesen ,been 
endlich ,finally 
schwester ,sister 
keiner ,none 
wenig ,few 
tod ,death 
versucht ,tried 
oben ,above 
letzten ,last 
geschichte ,story 
erste ,first 
alter ,age 
kurz ,short 
bedeutet ,means 
niemals ,never 
ah ,uh 
fünf ,five 
welche ,which 
hoch ,high 
etwa ,approximately 
erzählt ,told 
finde ,find 
land ,country 
lasst ,let 
bringt ,brings 
getötet ,killed 
stunden ,hours 
holen ,fetch 
schwer ,difficult 
lässt ,lets 
verlassen ,leave 
anders ,different 
hoffe ,hope 
gestern ,yesterday 
musste ,had to 
wahrheit ,truth 
vier ,four 
sagst ,say 
mom ,mom 
ort ,location 
läuft ,running 
zimmer ,room 
während ,while 
captain ,captain 
deshalb ,for this reason 
seite ,page 
würdest ,would 
glaubst ,believe 
krieg ,war 
zeigen ,show 
gefallen ,fallen 
spiel ,game 
bleibt ,remains 
woche ,week 
unserer ,ours 
nett ,nice 
denen ,those 
bestimmt ,certainly 
zwischen ,between 
wagen ,dare 
kleinen ,small 
the ,the 
guter ,goods 
schatz ,treasure 
schuld ,fault 
erzählen ,tell 
ersten ,first 
dies ,this 
spaß ,fun 
tage ,days 
nehme ,take 
manchmal ,sometimes 
beste ,best 
gehst ,go 
chance ,chance 
entschuldigung ,excuse 
anderes ,other 
schlecht ,bad 
wollten ,wanted 
äh ,uh 
ernst ,serious 
sachen ,things 
eben ,even 
schlafen ,sleep 
gefällt ,pleases 
entschuldigen ,excuse 
bett ,bed 
wort ,word 
allen ,everyone 
gesicht ,face 
typ ,type 
unten ,below 
mensch ,person 
freundin ,girlfriend 
miss ,miss 
kleiner ,smaller 
hättest ,would have 
teil ,part 
tu ,do 
trinken ,drink 
einige ,some 
wären ,would be 
bleib ,stay 
beiden ,both 
herz ,heart 
papa ,papa 
stellen ,place 
wichtig ,important 
euer ,your 
blut ,blood 
schule ,school 
bloß ,just 
john ,John 
neuen ,new 
wiedersehen ,see you again 
unseren ,ours 
glücklich ,happy 
jack ,Jack 
frei ,free 
ding ,thing 
gedacht ,thought 
tust ,do 
scheint ,appears 
arsch ,ass 
oft ,often 
wohin ,where 
alt ,old 
alte ,old ones 
waffe ,weapon 
sorge ,worries 
fest ,firmly 
platz ,place 
eltern ,parents 
kriegen ,get 
daß ,that 
wen ,who 
möglich ,possible 
drauf ,on it 
falls ,if 
irgendwie ,somehow 
jungen ,boys 
besten ,best 
alten ,old 
nummer ,number 
wahrscheinlich ,probably 
dollar ,dollar 
brauchst ,need 
ehrlich ,honest 
hierher ,here 
irgendwas ,something 
setzen ,set 
zuerst ,first 
falsch ,incorrect 
reicht ,suffices 
menge ,crowd 
bereits ,already 
bring ,bring 
jede ,every 
hölle ,hell 
pass ,passport 
außer ,except 
früher ,earlier 
rede ,speech 
großen ,big 
hände ,hands 
wollt ,wanted 
gegeben ,given 
telefon ,phone 
kennst ,know 
wartet ,waits 
schiff ,ship 
früh ,early 
sondern ,rather 
scheiß ,shit 
tue ,do 
willkommen ,welcome 
kaum ,barely 
doktor ,doctor 
lieben ,love 
fehler ,mistake 
retten ,save 
stunde ,hour 
meines ,mine 
dürfen ,may 
sechs ,six 
plan ,plan 
klingt ,sounds 
hund ,dog 
zehn ,ten 
nächste ,next 
nächsten ,next 
langsam ,slow 
gebe ,give 
allem ,everything 
film ,film 
ruf ,call 
wochen ,weeks 
geworden ,become 
schaffen ,create 
wär ,would be 
überall ,everywhere 
voll ,full 
feuer ,fire 
alleine ,alone 
büro ,office 
direkt ,direct 
kumpel ,buddy 
trotzdem ,despite it 
hm ,Hm 
erinnern ,remember 
lernen ,learn 
laufen ,run 
denkt ,thinks 
könig ,king 
new ,new 
tat ,did 
nennen ,to name 
kleines ,small 
wem ,whom 
eigenen ,own 
aufhören ,stop 
könnt ,can 
deswegen ,because of this 
danach ,thereafter 
verlieren ,lose 
neues ,new 
völlig ,fully 
hattest ,had 
leider ,unfortunately 
hol ,get 
seht ,see 
luft ,air 
stelle ,place 
ziehen ,pull 
funktioniert ,functions 
verstehst ,understand 
verschwinden ,disappear 
heiraten ,marry 
wolltest ,wanted 
unserem ,ours 
spricht ,speaks 
entschuldige ,sorry 
jedes ,each 
probleme ,problems 
lebt ,lives 
könntest ,could 
versuche ,try 
groß ,large 
gebracht ,brought 
krank ,sick 
gegangen ,gone 
wow ,Wow 
kaffee ,coffee 
straße ,street 
froh ,glad 
genommen ,taken 
fühle ,feel 
wert ,value 
rufen ,call 
erde ,earth 
richtige ,correct 
suche ,search 
buch ,book 
stück ,piece 
getroffen ,met 
lch ,lch 
tagen ,meetings 
nochmal ,again 
nachdem ,after 
möchten ,want 
arzt ,physician 
typen ,types 
fand ,found 
vertrauen ,trust 
sam ,Sam 
drüben ,over 
himmel ,heaven 
erklären ,explain 
interessiert ,interested 
irgendwo ,somewhere 
nachricht ,news 
glaub ,believe 
tja ,well 
gutes ,good 
onkel ,uncle 
spielt ,plays 
genauso ,just as 
geschafft ,done 
großer ,big one 
waffen ,weapons 
i ,i 
licht ,light 
körper ,body 
kaufen ,buy 
weniger ,fewer 
lasse ,let 
lhr ,yours 
wahl ,choice 
damals ,at that time 
rest ,rest 
schätze ,guess 
gefühl ,feeling 
zwar ,that is 
halte ,hold 
passieren ,happen 
schlüssel ,key 
sitzen ,sit 
millionen ,million 
weh ,sore 
leicht ,light 
kümmern ,take care 
hält ,holds 
herren ,gentlemen 
sagten ,said 
kennt ,knows 
gefragt ,asked 
zukunft ,future 
schauen ,look 
party ,party 
vergiss ,forget 
angerufen ,called 
total ,total 
möchtest ,would like 
solche ,such 
opfer ,victim 
passt ,fits 
worden ,been 
versuch ,attempt 
gesprochen ,spoken 
gefängnis ,jail 
schreiben ,write 
vorsichtig ,cautious 
o ,O 
wovon ,from what 
großartig ,great 
laut ,loud 
vorstellen ,introduce 
sinn ,sense 
schöne ,beautiful 
sobald ,as soon as 
krankenhaus ,hospital 
wohnung ,apartment 
tragen ,carry 
person ,person 
böse ,evil 
mist ,crap 
michael ,Michael 
super ,super 
stark ,strong 
still ,silent 
mund ,mouth 
verletzt ,injured 
boss ,boss 
leuten ,people 
boden ,floor 
sex ,sex 
kämpfen ,battle 
bringe ,bring 
fühlen ,feel 
außerdem ,aside from that 
lustig ,funny 
ändern ,change 
fliegen ,fly 
findet ,finds 
höre ,listen 
klasse ,class 
verdammte ,damn 
solange ,as long as 
charlie ,charlie 
setz ,put 
schicken ,send 
länger ,longer 
jemals ,ever 
hörst ,hear 
stolz ,proud 
besonders ,particularly 
idiot ,idiot 
sicherheit ,security 
redest ,talk 
eher ,rather 
umbringen ,kill 
wenigstens ,at least 
anrufen ,call 
zeug ,things 
sollst ,you should 
gestorben ,died 
mr ,mr 
ähm ,um 
hasse ,hate 
zeig ,show 
hart ,hard 
erwartet ,expected 
heißen ,be called 
mörder ,murderer 
lachen ,laugh 
a ,a 
führen ,lead 
heraus ,out of here 
glaubt ,believes 
fällt ,falls 
stimme ,agree 
geschehen ,happen 
wisst ,know 
erfahren ,experience 
wärst ,would be 
geschäft ,business 
tages ,day 
schneller ,faster 
hinten ,rear 
stand ,stood 
umgebracht ,killed 
acht ,eight 
liebling ,darling 
mögen ,like 
fallen ,fall 
denk ,think 
lesen ,read 
frank ,frank 
meinung ,opinion 
liebt ,loves 
erinnere ,remember 
folgen ,consequences 
schluss ,ending 
monate ,months 
unglaublich ,incredible 
vorher ,previously 
verzeihung ,forgiveness 
arschloch ,asshole 
meisten ,most 
schlimm ,terrible 
aufs ,ons 
york ,York 
peter ,Peter 
lebens ,life 
werdet ,will 
unmöglich ,impossible 
kampf ,battle 
laden ,load 
nähe ,vicinity 
team ,team 
bild ,picture 
joe ,joe 
verdient ,earned 
arbeitet ,works 
jedem ,everyone 
behalten ,keep 
bitten ,ask 
tatsächlich ,actually 
anfangen ,begin 
versprochen ,promised 
mord ,murder 
bekommt ,receives 
rufe ,shout 
zieh ,pull 
fort ,continued 
perfekt ,perfect 
tom ,tom 
sieben ,seven 
plötzlich ,suddenly 
geschickt ,sent 
tisch ,table 
liegen ,lay 
chffffff ,chffffff 
antwort ,answer 
bezahlen ,pay 
machte ,made 
arbeite ,work 
gefährlich ,dangerous 
traum ,dream 
bezahlt ,paid 
auge ,eye 
general ,general 
dumm ,dumb 
konnten ,could 
starb ,died 
hotel ,hotel 
verkaufen ,sell 
ziel ,goal 
obwohl ,although 
ärger ,aggravation 
fenster ,window 
seien ,be 
daddy ,daddy 
niemanden ,nobody 
hörte ,heard 
handy ,cell phone 
bewegung ,movement 
gerettet ,saved 
dagegen ,against it 
monaten ,months 
nötig ,necessary 
hilf ,help 
ihres ,hers 
werd ,will 
gewinnen ,win 
max ,max 
gedanken ,thoughts 
erinnerst ,remember 
voller ,fuller 
verheiratet ,married 
fahr ,drive 
rum ,rum 
neu ,new 
mike ,Mike 
benutzt ,used 
yeah ,yeah 
nimmt ,takes 
welcher ,which 
augenblick ,moment 
you ,you 
komisch ,funny 
hole ,fetch 
gefahr ,danger 
entscheidung ,decision 
meister ,master 
unterwegs ,on the way 
lacht ,laughs 
leiche ,corpse 
zug ,train 
ma ,ma 
chef ,boss 
gleiche ,same 
worte ,words 
bier ,beer 
arm ,arm 
klappe ,flap 
fangen ,catch 
absolut ,absolutely 
schlimmer ,worse 
kamen ,came 
